Street1,Street2,City,State,Zip,Latitude,Longitude,County,Census Year,ACS Demographics/Population by age range/Total/Value,ACS Demographics/Race and ethnicity/Not Hispanic or Latino/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: White alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Black or African American alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: American Indian and Alaska Native alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Asian alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Some other race alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Two or more races/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Two or more races: Two races including Some other race/Percentage,"ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Two or more races: Two races excluding Some other race, and three or more races/Percentage",ACS Demographics/Race and ethnicity/Hispanic or Latino/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: White alone/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: Black or African American alone/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: American Indian and Alaska Native alone/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: Asian alone/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: Some other race alone/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: Two or more races/Percentage,ACS Demographics/Race and ethnicity/Hispanic or Latino: Two or more races: Two races including Some other race/Percentage,"ACS Demographics/Race and ethnicity/Hispanic or Latino: Two or more races: Two races excluding Some other race, and three or more races/Percentage",ACS Economics/Number of households/Total/Value,ACS Economics/Median household income/Total/Value,"ACS Economics/Household income/Less than $10,000/Value","ACS Economics/Household income/$10,000 to $14,999/Value","ACS Economics/Household income/$15,000 to $19,999/Value","ACS Economics/Household income/$20,000 to $24,999/Value","ACS Economics/Household income/$25,000 to $29,999/Value","ACS Economics/Household income/$30,000 to $34,999/Value","ACS Economics/Household income/$35,000 to $39,999/Value","ACS Economics/Household income/$40,000 to $44,999/Value","ACS Economics/Household income/$45,000 to $49,999/Value","ACS Economics/Household income/$50,000 to $59,999/Value","ACS Economics/Household income/$60,000 to $74,999/Value","ACS Economics/Household income/$75,000 to $99,999/Value","ACS Economics/Household income/$100,000 to $124,999/Value","ACS Economics/Household income/$125,000 to $149,999/Value","ACS Economics/Household income/$150,000 to $199,999/Value","ACS Economics/Household income/$200,000 or more/Value",ACS Housing/Median value of owner-occupied housing units/Total/Value,"ACS Housing/Value of owner-occupied housing units/Less than $10,000/Value","ACS Housing/Value of owner-occupied housing units/$10,000 to $14,999/Value","ACS Housing/Value of owner-occupied housing units/$15,000 to $19,999/Value","ACS Housing/Value of owner-occupied housing units/$20,000 to $24,999/Value","ACS Housing/Value of owner-occupied housing units/$25,000 to $29,999/Value","ACS Housing/Value of owner-occupied housing units/$30,000 to $34,999/Value","ACS Housing/Value of owner-occupied housing units/$35,000 to $39,999/Value","ACS Housing/Value of owner-occupied housing units/$40,000 to $49,999/Value","ACS Housing/Value of owner-occupied housing units/$50,000 to $59,999/Value","ACS Housing/Value of owner-occupied housing units/$60,000 to $69,999/Value","ACS Housing/Value of owner-occupied housing units/$70,000 to $79,999/Value","ACS Housing/Value of owner-occupied housing units/$80,000 to $89,999/Value","ACS Housing/Value of owner-occupied housing units/$90,000 to $99,999/Value","ACS Housing/Value of owner-occupied housing units/$100,000 to $124,999/Value","ACS Housing/Value of owner-occupied housing units/$125,000 to $149,999/Value","ACS Housing/Value of owner-occupied housing units/$150,000 to $174,999/Value","ACS Housing/Value of owner-occupied housing units/$175,000 to $199,999/Value","ACS Housing/Value of owner-occupied housing units/$200,000 to $249,999/Value","ACS Housing/Value of owner-occupied housing units/$250,000 to $299,999/Value","ACS Housing/Value of owner-occupied housing units/$300,000 to $399,999/Value","ACS Housing/Value of owner-occupied housing units/$400,000 to $499,999/Value","ACS Housing/Value of owner-occupied housing units/$500,000 to $749,999/Value","ACS Housing/Value of owner-occupied housing units/$750,000 to $999,999/Value","ACS Housing/Value of owner-occupied housing units/$1,000,000 to $1,499,999/Value","ACS Housing/Value of owner-occupied housing units/$1,500,000 to $1,999,999/Value","ACS Housing/Value of owner-occupied housing units/$2,000,000 or more/Value"
3791 Easton Nazareth Highway,,Easton,PA,18045,40.71554,-75.287681,Northampton County,2019,1574,0.939,0.916,0.026,0,0.045,0,0,0.013,0,1,0.061,0.698,0.135,0,0,0,0.167,0,0,0,541,102019,0,0,0,28,26,18,17,12,11,30,50,68,59,91,40,91,360800,5,0,0,0,0,0,0,0,0,0,0,0,6,17,17,21,10,59,34,111,69,83,36,5,0,0
Fairport - Marsh Roads,,East Rochester,NY,14445,43.105114,-77.489668,Monroe County,2019,1591,0.952,0.955,0.03,0,0,0,0,0.015,0,1,0.048,0.857,0,0,0,0,0,0.143,0,1,603,69866,0,4,39,18,8,18,31,49,45,29,131,64,62,55,27,23,126600,0,8,0,0,0,0,0,0,0,0,11,16,76,138,85,18,20,29,89,12,7,0,0,0,0,0
12501 Stone Village Way,,Midlothian,VA,23113,37.502773,-77.6241,Chesterfield County,2019,1619,0.99,0.91,0.075,0,0,0,0,0.015,0,1,0.01,1,0,0,0,0,0,0,0,0,623,118274,13,0,0,0,13,0,17,12,0,26,27,113,105,112,96,89,339000,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,13,0,67,120,250,121,26,12,0,0,0
3175 Chili Avenue,,Rochester,NY,14624,43.104476,-77.743435,Monroe County,2019,1730,0.908,0.764,0.183,0,0.022,0,0,0.031,0,1,0.092,0.862,0.031,0,0,0,0.107,0,0,0,761,53264,51,40,31,48,16,89,42,50,8,41,57,99,66,10,26,87,250700,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,27,44,34,46,7,0,0,0,0,0
1577 Military Road,,Niagara Falls,NY,14304,43.094787,-78.97001,Niagara County,2019,1738,0.997,0.961,0.025,0.014,0,0,0,0,0,0,0.003,1,0,0,0,0,0,0,0,0,834,37220,31,47,65,67,66,14,207,27,0,22,83,61,45,39,60,0,71300,112,75,60,14,41,0,0,0,30,0,41,18,15,60,35,49,66,46,13,0,0,0,0,0,0,0
200 Boylston Street,,Newton,MA,2467,42.318779,-71.175033,Middlesex County,2019,1766,0.921,0.641,0.019,0,0.328,0,0,0.012,1,0,0.079,0.614,0,0,0,0,0.371,0.014,1,0,852,107851,41,28,28,52,13,46,24,0,54,25,0,74,154,48,35,230,908300,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,37,43,55,59,109,53,169,27
4960 Transit Road,,Depew,NY,14043,42.881042,-78.697091,Erie County,2019,1782,0.97,0.919,0.057,0,0.008,0,0,0.016,0,1,0.03,0,0,0,0,0,0.547,0.453,0,1,740,54853,79,25,31,72,16,36,37,34,17,24,80,61,58,70,82,18,146400,0,0,0,0,0,0,0,0,31,0,0,0,13,116,101,136,38,35,16,0,0,0,7,0,0,0
1200 Wake Towne Drive,,Raleigh,NC,27609,35.821326,-78.62083,Wake County,2019,1841,0.655,0.678,0.241,0,0.007,0,0.036,0.038,0,1,0.345,0.016,0,0,0,0,0.984,0,0,0,701,42125,61,30,0,75,83,10,32,70,12,35,95,31,0,10,35,122,344400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,12,55,71,49,25,0,0,0,0
3701 Mt. Read Boulevard,,Rochester,NY,14616,43.226262,-77.660687,Monroe County,2019,1914,0.967,0.868,0.061,0,0.061,0,0,0.01,0,1,0.033,0,0,0,0,0,1,0,0,0,721,71758,0,0,15,14,16,22,14,35,43,85,178,89,148,13,22,27,124900,26,16,15,0,14,0,0,0,0,0,0,64,50,173,219,118,19,0,0,0,0,0,0,0,0,0
370 Orchard Park Road,,West Seneca,NY,14224,42.834578,-78.783578,Erie County,2019,1928,0.921,0.989,0.011,0,0,0,0,0,0,0,0.079,0.888,0,0,0,0,0.039,0.072,0,1,986,51179,36,43,64,74,76,26,32,57,60,126,142,168,50,20,0,12,154100,0,0,0,0,0,0,0,0,9,0,0,10,39,87,74,167,42,31,0,21,0,13,0,0,0,0
1104 Highway 35 S,,Ocean,NJ,7712,40.239357,-74.037498,Monmouth County,2019,1935,0.964,0.563,0.301,0,0.115,0,0,0.021,0,1,0.036,0.857,0.129,0,0,0,0.014,0,0,0,717,73068,9,25,8,13,38,35,21,38,16,43,138,90,52,49,55,87,512900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,78,145,10,0,0,0
1056 East Lancaster Avenue,,Downington,PA,19335,40.017356,-75.677686,Chester County,2019,1961,0.855,0.771,0.01,0,0.207,0,0,0.012,0,1,0.145,0.743,0,0,0,0,0.123,0.134,0,1,953,89913,0,35,12,85,31,51,40,15,0,42,78,148,108,127,123,58,288400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,15,54,127,39,115,0,0,0,0,0
5275 Sheridan Drive,,Williamsville,NY,14221,42.977007,-78.736944,Erie County,2019,1977,0.977,0.839,0.155,0,0.006,0,0,0,0,0,0.023,0.911,0,0,0,0,0.089,0,0,0,1108,35319,146,151,34,121,26,70,59,103,0,19,58,83,144,30,36,28,172000,35,0,0,0,0,0,0,0,0,0,0,0,0,36,0,87,19,25,34,17,0,28,14,0,0,0
21 Wegmans Blvd,,Abingdon,MD,21009,39.466286,-76.309516,Harford County,2019,1997,0.845,0.784,0.147,0,0.05,0,0,0.02,0,1,0.155,0.272,0.068,0,0,0,0.625,0.036,1,0,1150,41123,170,70,145,74,31,0,54,77,11,174,123,140,11,0,44,26,191000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,89,25,26,52,27,0,0,0,0,0,0
6660 4th Section Road,,Brockport,NY,14420,43.200304,-77.947602,Monroe County,2019,2022,0.965,0.905,0.051,0,0.015,0,0,0.029,0,1,0.035,0.493,0,0,0,0,0.507,0,0,0,878,59583,72,45,69,23,37,55,23,40,39,40,83,176,90,26,34,26,146400,0,0,6,0,0,0,0,8,30,16,48,14,7,12,86,96,66,28,6,6,0,0,0,0,0,0
15 Woodbridge Center Drive,,Woodbridge,NJ,7095,40.549881,-74.297725,Middlesex County,2019,2134,0.939,0.143,0.067,0,0.726,0,0.051,0.013,1,0,0.061,0.854,0,0,0,0,0.146,0,0,0,646,106611,0,0,0,0,0,17,45,0,0,0,51,166,116,48,142,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
220 Highland Park Blvd,,Wilkes-Barre,PA,18702,41.236738,-75.861314,Luzerne County,2019,2157,0.838,0.801,0.013,0,0.115,0,0,0.071,0,1,0.162,0.567,0.152,0,0,0,0,0.281,0,1,917,57875,111,42,35,18,24,26,59,85,30,54,139,119,136,16,23,0,92200,0,0,8,0,0,23,0,8,47,52,16,74,48,59,93,32,8,0,9,0,0,0,0,0,0,0
6600 Pittsford-Palmyra Road,,Fairport,NY,14450,43.0714,-77.445913,Monroe County,2019,2177,0.979,0.952,0.024,0,0.024,0,0,0,0,0,0.021,1,0,0,0,0,0,0,0,0,1267,54954,67,28,89,99,14,76,88,14,116,102,112,247,150,0,16,49,156800,16,13,14,0,0,0,0,0,0,15,0,0,221,95,59,143,201,113,15,39,0,0,0,0,0,0
2 Centerton Road,,Mt. Laurel,NJ,8054,39.967623,-74.916075,Burlington County,2019,2212,0.999,0.833,0.074,0,0.069,0,0,0.024,0,1,0.001,0,0,0,0,0,1,0,0,0,926,118846,62,0,17,49,26,0,15,0,32,60,0,152,100,31,207,175,460300,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,84,53,47,46,0,156,217,57,0,0,0
500 Montgomery Mall,,North Wales,PA,19454,40.20497,-75.279867,Montgomery County,2019,2229,0.983,0.885,0.026,0,0.083,0,0,0.005,0,1,0.017,1,0,0,0,0,0,0,0,0,924,118056,0,51,15,5,10,22,26,32,32,22,74,100,100,103,88,244,483800,0,0,5,0,0,0,0,4,0,0,0,0,0,5,5,15,17,10,42,184,179,385,11,12,0,0
650 Hylan Drive,,Rochester,NY,14623,43.082352,-77.627627,Monroe County,2019,2230,0.991,0.586,0.154,0.026,0.207,0,0,0.027,0,1,0.009,1,0,0,0,0,0,0,0,0,978,40068,112,119,34,73,86,46,16,111,34,47,49,92,98,51,10,0,129100,0,0,0,0,0,0,0,0,0,0,19,0,34,119,221,12,0,0,12,0,0,0,0,0,0,0
1810 Fordham Road,,Chapel Hill,NC,27514,35.94483,-79.009377,Orange County,2019,2279,0.977,0.596,0.194,0,0.184,0,0.013,0.012,0,1,0.023,1,0,0,0,0,0,0,0,0,860,73200,19,38,15,48,11,15,56,71,39,67,69,172,89,28,58,65,244700,0,0,0,0,0,0,0,0,0,0,20,59,0,0,29,39,22,142,134,107,0,40,0,0,0,0
3177 Latta Road,,Rochester,NY,14612,43.250768,-77.699273,Monroe County,2019,2293,0.992,0.945,0.051,0.004,0,0,0,0,0,0,0.008,1,0,0,0,0,0,0,0,0,922,84216,37,35,12,18,17,67,50,14,31,74,59,70,145,44,152,97,180100,14,0,0,0,0,0,0,0,0,0,0,0,0,35,135,142,146,195,44,0,0,0,0,0,0,0
2833 Ridge Road West,,Rochester,NY,14626,43.209288,-77.707918,Monroe County,2019,2324,0.97,0.873,0.054,0,0.025,0,0,0.048,0,1,0.03,0.812,0.188,0,0,0,0,0,0,0,988,58480,17,86,62,68,9,68,47,34,38,96,28,154,153,76,27,25,130700,10,0,0,0,0,0,0,0,0,0,35,39,52,193,254,144,24,0,0,0,0,0,17,0,0,5
2157 Penfield Road,,Penfield,NY,14526,43.128837,-77.443372,Monroe County,2019,2348,0.973,0.869,0.118,0,0.007,0,0,0.006,0,1,0.027,0.469,0.438,0,0,0,0.094,0,0,0,1124,44154,70,30,70,142,25,73,95,79,40,102,152,67,123,16,40,0,152300,0,26,0,0,0,0,0,0,0,0,0,13,58,153,92,334,16,17,0,24,0,0,0,13,0,0
100 Wegmans Way,,Charlottesville,VA,22902,38.008781,-78.50046,Albemarle County,2019,2348,0.913,0.736,0.152,0.004,0.097,0,0,0.011,0,1,0.087,0.961,0,0,0,0,0.039,0,0,0,732,106136,15,0,21,9,14,32,7,6,0,80,61,94,102,95,99,97,292600,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,21,30,154,95,195,89,4,0,0,0,0
2301 Lyell Avenue,,Rochester,NY,14606,43.16335,-77.688506,Monroe County,2019,2365,0.956,0.789,0.18,0,0,0,0,0.031,0,1,0.044,0.356,0,0,0,0,0,0.644,0,1,1105,63117,0,22,83,7,75,16,12,63,123,96,250,174,138,24,12,10,119500,0,0,0,0,0,0,0,0,0,22,68,115,139,267,383,83,0,11,0,0,0,0,0,17,0,0
5000 Wegmans Drive,,Bethlehem,PA,18017,40.66544,-75.388097,Northampton County,2019,2374,0.849,0.902,0.043,0,0.048,0,0,0.008,0,1,0.151,0.754,0,0,0,0,0.092,0.154,0.618,0.382,1002,81731,24,26,13,36,77,67,32,29,26,22,128,96,52,99,195,80,274300,0,0,0,0,0,0,0,0,0,0,13,0,0,0,31,40,71,100,152,224,13,0,0,0,0,14
10100 Reisterstown Road,,Owings Mills,MD,21117,39.413008,-76.774688,Baltimore County,2019,2415,0.895,0.499,0.444,0,0.016,0,0,0.04,0,1,0.105,0.826,0.051,0,0,0,0,0.123,1,0,1161,66696,48,24,44,15,56,12,92,94,0,115,119,184,130,152,0,76,203800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,92,103,198,109,19,0,0,0,0,0,0
9102 Shops Way,,Northborough,MA,1532,42.291663,-71.670616,Worcester County,2019,2439,0.948,0.721,0.058,0.015,0.206,0,0,0,0,0,0.052,0.313,0,0,0,0.063,0.625,0,0,0,894,128452,7,49,7,0,20,20,5,50,36,22,40,88,81,140,101,228,458300,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,30,122,168,137,67,9,0,0
3900 Tilghman Street,,Allentown,PA,18104,40.591869,-75.541765,Lehigh County,2019,2443,0.802,0.63,0.078,0,0.248,0,0.044,0,0,0,0.198,0.497,0,0,0,0,0.503,0,0,0,997,71732,41,16,48,23,0,47,115,0,0,109,117,122,102,51,102,104,334700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,47,24,157,11,13,0,9,0,0
745 Calkins Road,,Rochester,NY,14623,43.067076,-77.612118,Monroe County,2019,2446,0.983,0.685,0.094,0,0.129,0,0.057,0.035,0,1,0.017,1,0,0,0,0,0,0,0,0,991,64779,13,15,48,86,57,80,44,27,24,53,80,202,132,64,8,58,128300,0,17,0,0,0,0,0,0,0,0,0,15,34,212,293,63,0,0,0,0,0,0,0,0,0,0
8855 Mcgaw Rd,,Columbia,MD,21045,39.186279,-76.820048,Howard County,2019,2485,0.882,0.38,0.518,0,0.083,0,0.012,0.007,0,1,0.118,0.777,0.113,0,0,0,0,0.11,1,0,979,98750,42,43,64,9,0,57,18,14,0,37,86,124,134,137,150,64,259700,10,0,0,11,0,0,0,0,0,0,0,0,0,10,27,0,16,190,80,205,10,0,0,0,0,0
3740 Mckinley Pkwy,,Buffalo,NY,14219,42.783474,-78.812395,Erie County,2019,2498,0.957,0.945,0.019,0,0,0,0,0.036,0,1,0.043,0.907,0,0,0,0,0.093,0,0,0,1113,56402,64,25,37,100,65,36,44,11,103,98,97,130,107,78,91,27,149700,0,0,0,0,0,0,0,0,0,0,14,23,0,96,198,69,83,0,102,46,0,27,0,0,0,0
900 Holt Road,,Webster,NY,14580,43.213172,-77.444124,Monroe County,2019,2502,0.986,0.696,0.068,0,0.219,0,0,0.017,0,1,0.014,1,0,0,0,0,0,0,0,0,1270,45147,34,53,142,55,113,59,118,60,35,132,143,164,57,64,41,0,125000,0,0,0,0,0,0,0,0,0,0,0,14,0,43,32,0,0,0,14,11,0,0,0,0,0,0
1405 Main St,,Warrington,PA,18976,40.230371,-75.131969,Bucks County,2019,2509,0.99,0.875,0.039,0,0.086,0,0,0,0,0,0.01,1,0,0,0,0,0,0,0,0,1150,69783,24,21,10,76,10,56,46,38,45,141,155,108,180,39,115,86,345400,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,36,51,87,32,248,163,40,0,0,0,0
7830 Wormans Mill Road,,Frederick,MD,21701,39.445805,-77.399928,Frederick County,2019,2529,0.882,0.787,0.154,0,0.033,0,0,0.026,0,1,0.118,0.592,0,0,0,0,0.368,0.04,0,1,989,108295,0,0,17,16,47,0,7,34,9,37,108,151,146,158,117,142,307200,0,0,0,0,0,11,0,0,0,11,0,0,0,0,0,8,17,87,226,230,133,30,0,0,0,0
4287 Genesee Valley Plaza,,Geneseo,NY,14454,42.797189,-77.784236,Livingston County,2019,2553,0.981,1,0,0,0,0,0,0,0,0,0.019,1,0,0,0,0,0,0,0,0,1240,53542,69,73,80,30,32,89,75,28,65,100,80,164,126,22,68,139,198500,0,0,17,0,0,0,0,0,20,0,13,0,19,59,55,64,86,108,24,60,48,32,25,26,0,0
45131 Columbia Place,,Sterling,VA,20166,39.006992,-77.440693,Loudoun County,2019,2642,0.913,0.522,0.048,0.005,0.366,0,0,0.059,0.455,0.545,0.087,0.442,0,0,0,0,0.398,0.16,1,0,829,149181,0,0,7,0,0,12,19,0,0,49,23,56,124,134,124,281,599200,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,108,97,325,150,0,0,0
8270 Transit Road,,Williamsville,NY,14221,42.99341,-78.698919,Erie County,2019,2755,0.94,0.834,0.017,0,0.11,0,0.015,0.023,0,1,0.06,0.224,0,0,0,0,0.776,0,0,0,1343,94583,42,58,22,226,0,0,31,18,16,55,87,141,111,72,237,227,346900,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,32,12,119,38,225,62,93,19,35,0,0
101 Crosstrail Blvd Se,,Leesburg,VA,20175,39.089261,-77.521733,Loudoun County,2019,2826,0.814,0.573,0.167,0.004,0.166,0,0.032,0.058,0,1,0.186,0.638,0.085,0,0.201,0,0.021,0.055,1,0,913,152321,5,0,13,12,73,0,0,23,21,14,66,51,76,96,130,333,559800,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,24,116,343,0,0,0,0
724 Route 202 South,,Bridgewater,NJ,8807,40.605416,-74.624238,Somerset County,2019,2835,0.897,0.805,0.026,0,0.159,0,0,0.01,0,1,0.103,0.763,0.237,0,0,0,0,0,0,0,882,153167,0,0,14,7,15,6,0,14,27,0,92,84,96,67,156,304,562500,13,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,61,216,388,96,8,0,0
55 US Highway 9,,Englishtown,NJ,7726,40.290696,-74.300084,Monmouth County,2019,2885,0.907,0.838,0.039,0,0.11,0,0.003,0.011,0,1,0.093,1,0,0,0,0,0,0,0,0,1044,116667,0,0,35,25,20,0,47,0,79,55,80,74,181,119,136,193,419800,31,0,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,333,296,192,8,0,0,9
2281 Carl D. Silver Parkway,,Fredericksburg,VA,22401,38.31309,-77.508289,Fredericksburg city,2019,3137,0.749,0.332,0.526,0,0.027,0,0,0.114,0,1,0.251,0.043,0,0,0,0,0.957,0,0,0,938,49476,138,0,51,0,0,63,65,61,104,105,61,187,30,0,63,10,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,24,0,0,10,0,0,0
12200 Wegmans Blvd,,Henrico,VA,23233,37.663029,-77.635397,Henrico County,2019,3933,0.991,0.701,0.119,0,0.173,0,0,0.007,0,1,0.009,1,0,0,0,0,0,0,0,0,1290,134881,30,0,0,67,11,0,52,12,0,0,144,165,79,189,159,382,448900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,30,273,181,302,11,0,0,0
50 Foundry Way,,Malvern,PA,19355,40.049222,-75.517795,Chester County,2019,4125,0.968,0.691,0.081,0,0.218,0,0,0.01,0.366,0.634,0.032,1,0,0,0,0,0,0,0,0,1572,138837,0,16,0,20,15,13,0,14,0,88,135,226,178,166,305,396,480500,0,0,0,0,14,14,0,14,0,21,0,0,0,0,0,13,55,139,14,74,280,471,45,13,0,0
14801 Dining Way,,Woodbridge,VA,22191,38.631192,-77.288805,Prince William County,2019,4190,0.879,0.321,0.474,0,0.136,0,0,0.069,0.047,0.953,0.121,0.553,0.116,0,0,0,0.183,0.148,0.427,0.573,1655,118301,13,0,0,8,10,12,36,39,104,55,136,189,296,165,362,230,323300,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,350,597,66,0,0,0,0,0
6416 Carlisle Pike Suite 2000,,Mechanicsburg,PA,17050,40.247647,-77.006841,Cumberland County,2019,5569,0.969,0.859,0.015,0.003,0.111,0,0,0.013,0,1,0.031,0.782,0,0,0,0,0.218,0,0,0,2315,87611,65,71,45,27,60,91,46,79,63,111,356,363,382,212,176,168,270000,7,0,14,0,0,0,0,0,0,0,0,0,14,22,60,156,158,169,305,178,109,192,45,0,0,15
100 Applied Bank Blvd,,Glen Mills,PA,19342,39.875893,-75.541723,Delaware County,2019,5762,0.988,0.776,0.051,0,0.164,0,0,0.008,0,1,0.012,0.373,0.627,0,0,0,0,0,0,0,2679,95578,26,13,38,66,204,71,171,25,62,268,202,245,309,246,337,396,424900,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,14,105,214,306,348,326,90,23,38,0
240 Nassau Park Blvd,,Princeton,NJ,8540,40.304644,-74.677491,Mercer County,2019,5817,0.956,0.228,0.07,0,0.673,0,0,0.029,0,1,0.044,0.551,0.012,0,0,0,0.242,0.195,0,1,2078,96538,109,60,22,34,83,96,49,23,10,100,177,281,99,83,232,620,754400,22,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,12,89,53,202,373,31,0,0
9001 Mchugh Drive,,Lanham,MD,20706,38.921403,-76.850685,Prince George's County,2019,6219,0.982,0.074,0.853,0.008,0.026,0,0.01,0.028,0.202,0.798,0.018,0.439,0.079,0,0,0,0.482,0,0,0,2031,130313,83,16,48,7,48,0,30,31,9,122,158,201,226,176,372,504,417800,45,0,0,0,0,0,0,0,14,0,0,0,0,28,18,0,16,102,222,373,430,469,50,0,0,22
1413 South Main Chapel Way,,Gambrills,MD,21054,39.031476,-76.688013,Anne Arundel County,2019,7472,0.905,0.735,0.13,0.003,0.054,0,0.007,0.071,0.093,0.907,0.095,0.574,0.024,0,0,0,0.03,0.373,0,1,2848,116250,17,18,52,106,0,126,84,75,14,156,208,422,268,336,481,485,358500,18,0,0,15,0,0,0,0,0,0,0,0,0,0,18,0,51,346,333,523,325,454,91,0,0,0
3710 Davis Drive,,Morrisville,NC,27560,35.828323,-78.850233,Wake County,2019,9808,0.944,0.36,0.088,0.022,0.474,0,0,0.057,0.151,0.849,0.056,0.843,0,0,0,0,0,0.157,0.218,0.782,3444,110729,103,131,15,30,14,169,47,0,106,214,296,360,543,315,596,505,304600,42,0,0,0,0,0,0,0,0,0,47,0,0,84,115,111,177,371,217,820,226,131,0,0,48,14
1315 Cold Spring Road,,Scranton,PA,18508,41.439979,-75.66843,Lackawanna County,2019,1073,0.913,0.986,0,0,0,0,0.014,0,0,0,0.087,0,0.29,0,0,0,0.71,0,0,0,531,34116,50,72,34,0,31,93,23,26,4,43,38,75,0,27,15,0,96900,10,0,0,0,0,0,0,0,0,0,20,65,70,62,35,0,0,10,15,0,0,0,0,0,0,0
100 Farm View,,Montvale,NJ,7645,41.054651,-74.045425,Bergen County,2019,1945,0.898,0.672,0.062,0,0.255,0,0,0.011,0,1,0.102,0.789,0,0,0,0,0,0.211,1,0,746,149063,38,0,15,0,0,12,21,0,0,0,44,64,66,125,64,297,670300,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,7,0,0,12,0,44,342,179,23,0,0
1835 Capitole One Drive South,,Tysons,VA,22102,38.953033,-77.229496,Fairfax County,2019,3003,0.98,0.628,0.021,0,0.341,0,0,0.011,0,1,0.02,1,0,0,0,0,0,0,0,0,1000,250001,0,57,0,0,0,0,0,0,0,0,0,21,55,67,110,690,1691300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,275,262,365
